id,timestamp_utc,session_id,mmsi,latitude,longitude,speed_knots,course_deg,heading_deg,nav_status,message_type,ship_type_code,ship_name,ship_category,hour
20,2026-06-08 19:55:00.363113+00:00,20260608_195454,319105300,36.67741,27.741856666666667,10.8,62.4,60.0,0,PositionReport,37.0,MY ESCAPE,Pleasure Craft,19
41,2026-06-08 19:55:27.451206+00:00,20260608_195523,538010371,36.50897333333333,26.780695,9.8,314.9,316.0,0,PositionReport,80.0,NISSOS SERIFOS,Tanker,19
65,2026-06-08 19:55:34.583459+00:00,20260608_195523,209874000,36.44394,28.23684833333333,0.0,142.7,143.0,5,PositionReport,70.0,THANOS,Cargo,19
74,2026-06-08 19:55:36.660745+00:00,20260608_195523,271002446,37.024728333333336,27.43828333333333,0.0,0.0,511.0,8,PositionReport,60.0,AKCAKOCA,Passenger,19
76,2026-06-08 19:55:36.831334+00:00,20260608_195523,538071660,37.01352166666666,27.450466666666667,0.0,262.8,287.0,1,PositionReport,37.0,M/Y GOLDEN HORN,Pleasure Craft,19
92,2026-06-08 19:55:41.728073+00:00,20260608_195523,241953000,36.40783166666667,28.24637166666667,0.0,242.9,9.0,1,PositionReport,89.0,SEAVEN CREST,Tanker,19
93,2026-06-08 19:55:42.150880+00:00,20260608_195523,271047044,36.60821833333333,26.67452,10.6,313.7,315.0,0,PositionReport,72.0,PARPALI,Cargo,19
94,2026-06-08 19:55:42.251096+00:00,20260608_195523,538011838,36.647475,27.136135000000003,0.1,256.0,323.0,1,PositionReport,70.0,IRIS I,Cargo,19
102,2026-06-08 19:55:44.521575+00:00,20260608_195523,271044329,36.58801,27.54412166666667,8.2,113.8,110.0,0,PositionReport,70.0,KILIC,Cargo,19
117,2026-06-08 19:55:47.621032+00:00,20260608_195523,241895000,36.89897166666666,27.295486666666665,8.5,267.7,268.0,0,PositionReport,70.0,BLUE CARRIER 2,Cargo,19
121,2026-06-08 19:55:49.083505+00:00,20260608_195523,271052890,36.76806666666666,26.735091666666666,13.4,160.7,160.0,0,PositionReport,70.0,MED BEYKOZ,Cargo,19
140,2026-06-08 19:55:54.782847+00:00,20260608_195523,271051573,36.72749666666667,27.69509,0.0,360.0,511.0,8,PositionReport,37.0,WHITE ISLAND,Pleasure Craft,19
143,2026-06-08 19:55:55.005894+00:00,20260608_195523,538072206,36.76919,28.127536666666668,0.0,360.0,162.0,0,PositionReport,,,Unknown,19
144,2026-06-08 19:55:56.239392+00:00,20260608_195523,319177600,37.02411666666667,27.436916666666665,0.0,62.8,63.0,5,PositionReport,37.0,STARLUST,Pleasure Craft,19
145,2026-06-08 19:55:56.284442+00:00,20260608_195523,538072107,36.82239833333333,28.31257,0.0,19.9,323.0,5,PositionReport,37.0,TURK'S,Pleasure Craft,19
154,2026-06-08 19:56:00.699635+00:00,20260608_195523,241895000,36.898965,27.29489833333333,7.8,268.3,269.0,0,PositionReport,70.0,BLUE CARRIER 2,Cargo,19
160,2026-06-08 19:56:01.060090+00:00,20260608_195523,241886000,36.4444,28.231211666666663,0.1,28.1,216.0,3,PositionReport,52.0,CAPTAIN DIMITRIS V,Tug,19
165,2026-06-08 19:56:01.793636+00:00,20260608_195523,357086000,36.34737166666666,26.900891666666663,11.0,302.9,303.0,0,PositionReport,70.0,AMIS WISDOM II,Cargo,19
